Location,Year,Yield,July_NDVI,July_RVI,July_Precip,July_GDD,Max_NDVI,Max_RVI,Max_Temp
-100.55_41.14,2015,185.0,,2.3584332463436577,115.41475423726857,415.93481357190285,0.2565076392227681,2.592646477187231,27.838124410999427
-100.55_41.14,2016,168.1,0.37363973381921084,2.3275952204506596,115.01193445925833,432.61310168972534,0.5429272071593875,2.624102064525326,28.77099963385414
-100.55_41.14,2017,168.4,0.371181215038297,2.345445402543801,64.69847170255531,493.03894395651565,0.47286624998587384,2.620257008767733,29.78614909155104
-100.55_41.14,2018,182.6,0.4630740063638753,2.407986690533631,114.13790182193986,425.6726361798736,0.5699641912377968,2.626639446871578,29.060743684579776
-100.55_41.14,2019,177.5,0.48165003536464807,2.3726718076552076,120.15874675264322,447.3438407119504,0.565503391811886,2.6367981792616235,28.752835855351538
-100.55_41.14,2020,155.4,0.43380761190620853,2.3989523050418176,47.687356035522534,481.85343271605893,0.4719359162249605,2.620642632278802,29.49497877299269
-100.55_41.14,2021,191.9,0.40547266621510114,2.359123185579443,30.836131114800345,476.89567352226845,0.4762405852746781,2.601065444493145,29.9246189307066
-100.55_41.14,2022,165.6,0.36868923114929825,2.383082530959175,53.05718889028563,502.3289468358724,0.4256411414707011,2.5893540481592816,31.383175491927805
-100.55_41.14,2023,189.7,0.5383565895747923,2.3828951692182248,70.24739308227763,418.936289215166,0.5623451229455765,2.765908893153209,32.02119257368302
-100.55_41.14,2024,,0.5109873871151712,2.3546168745629554,47.6793371296184,439.70154565936076,0.534289111712253,2.69686305941014,29.87184383578538
-100.6_41.15,2015,185.0,,2.36699968920282,112.21831598385002,415.9163403708238,0.24892548807855994,2.5995143268086203,27.847929596708042
-100.6_41.15,2016,168.1,0.3801809937745194,2.3408006624658824,110.42091909473054,432.0420643160363,0.5426744075419597,2.621070879704999,28.721700299533335
-100.6_41.15,2017,168.4,0.4018236820316262,2.346154379269024,63.17635052220365,492.9506696698235,0.46749934385492836,2.632062530066037,29.733240909234024
-100.6_41.15,2018,182.6,0.44503220487556894,2.409667617568188,114.51758530729707,425.3059568795546,0.5592961640414312,2.6405637493775376,29.03914648331688
-100.6_41.15,2019,177.5,0.45389314884950155,2.380134421048651,117.96928033291867,447.05521844963357,0.5341148298836241,2.650959565329268,28.75175938913978
-100.6_41.15,2020,155.4,0.37215399242346026,2.4248560582877405,47.8188594066951,482.4678386670205,0.4206207326160753,2.639578326765413,29.51999278174619
-100.6_41.15,2021,191.9,0.4136606034747504,2.373918103231118,30.723525060967948,476.5242685830752,0.46244047347144207,2.6159417549014847,29.9258641689766
-100.6_41.15,2022,165.6,0.34059408944339187,2.3938615047031586,51.95146713266975,502.21943739884443,0.40483036690816665,2.5871375690389025,31.445198377178162
-100.6_41.15,2023,189.7,0.5058733809112996,2.3856711769960164,68.64754375517938,419.5020240802174,0.5356655177944917,2.746672768980146,31.997411886129107
-100.6_41.15,2024,,0.4974199291111836,2.3646080152636455,45.66337703160014,441.1262074765515,0.5202641966191042,2.6892952975387128,29.95011962956567
-100.5_41.1,2015,185.0,,2.3746441491809462,118.09862812014771,418.01806475321524,0.34221108686819796,2.5549166765347744,27.90835787455245
-100.5_41.1,2016,168.1,0.4024636055964534,2.3403002451861625,122.6542016463732,434.13886349996,0.644297076393294,2.589584588768203,28.825460688273154
-100.5_41.1,2017,168.4,0.4100604101387315,2.3446482294535635,67.35783335030376,494.5836902618417,0.5597899970657957,2.574020740262253,29.915277099609398
-100.5_41.1,2018,182.6,0.5294119423892559,2.4065206039914897,113.20048894191004,427.91375694274967,0.6469782079524925,2.602756555691706,29.140909449259482
-100.5_41.1,2019,177.5,0.599288760884196,2.3771773743042672,121.20464251588459,449.35747044881253,0.6377845003344828,2.621722147822078,28.79139099121096
-100.5_41.1,2020,155.4,0.5332159593108645,2.389162425774699,48.708619821464794,483.1309766133632,0.5747123074019015,2.6028367470853997,29.515639241536462
-100.5_41.1,2021,191.9,0.4797717544974041,2.365296068813194,30.063799935476254,479.5187981923427,0.5902315011491683,2.577192933912128,30.004185612996423
-100.5_41.1,2022,165.6,0.49623146615528974,2.387267980874989,56.069860771568614,504.09651476542217,0.5488365198778892,2.5899308334506546,31.404821650187216
-100.5_41.1,2023,189.7,0.6278383512627231,2.4021266176653016,72.72545626790361,419.54823519388896,0.6491987096786179,2.729803485221445,32.07804641723635
-100.5_41.1,2024,,0.6072188204259662,2.369010843213115,50.87649860991661,440.08562685648667,0.6439404640113097,2.6970339080435255,29.841629282633505
-96.35_40.85,2015,182.0,,2.5015050306975284,144.84613502594394,457.4157680782025,0.009754209644537909,2.635101530145715,29.75850405952331
-96.35_40.85,2016,181.3,0.7153015154340889,2.456326600486016,121.71188234901592,471.49849763784607,0.8509892349834063,2.5676972048975055,31.10981002248489
-96.35_40.85,2017,184.3,0.7046437432378567,2.4491549803153108,52.71418462379478,517.6064361545215,0.8917741995694399,2.6002951783831234,32.08895156896426
-96.35_40.85,2018,202.4,0.8187711571060186,2.464701480208196,85.2723300209912,475.95009605101166,0.8673876495984221,2.591432230508929,31.345208264975422
-96.35_40.85,2019,175.7,0.6702369351411473,2.494809848787704,43.97137275144389,487.1272106738804,0.8979761070340864,2.683977535801515,32.615444798390634
-96.35_40.85,2020,193.4,0.6457264648789566,2.5175398405171725,207.34947768270334,481.2829334782094,0.8763069508329334,2.576557315422209,30.081827760700936
-96.35_40.85,2021,,0.76829561994531,2.4741391275781015,62.84626043759391,483.250832692501,0.8650043387428528,2.5991605208406034,31.781277105994285
-96.35_40.85,2022,132.5,0.5605879616088746,2.4569159817113615,110.88259357943775,485.1493798781236,0.7538084279630722,2.568346472772701,32.392004860772055
-96.35_40.85,2023,195.7,0.7568705585068709,2.454145908395076,71.58269458596136,470.8678255220963,0.8840393277062275,2.5796989723960455,32.67789066395862
-96.35_40.85,2024,,0.7574831192473777,2.4636344779277426,87.94376778579141,463.38082601578844,0.8777145740378254,2.5794948875449406,31.312458872513293
-93.5_42.0,2015,,,2.511461412543558,106.28549416514588,402.95768063863187,0.26459931788139873,2.6915227485590427,27.935129419962607
-93.5_42.0,2016,,0.7951289107121289,2.453617798419732,77.2454759078478,427.58401323954337,0.8256069743632284,2.626904787532539,29.070496495564782
-93.5_42.0,2017,,0.7384017322235062,2.4517896882570605,35.38682576477825,462.8158679962165,0.8188555707275633,2.6999995022611216,29.964508946736657
-93.5_42.0,2018,,0.6979576931152097,2.4499895302168593,79.14746131205774,414.0811560312913,0.8057635029060952,2.698566948269874,28.62238210042318
-93.5_42.0,2019,,0.6454173247762403,2.4935963138893498,76.85221539090747,461.2478327433274,0.8004711868437681,2.700171474518907,31.656788126627646
-93.5_42.0,2020,,0.7075990796988717,2.4443983039342867,88.90377198497035,461.5565137227382,0.805309962622447,2.735102287955736,29.689033762613974
-93.5_42.0,2021,,0.6226005356036386,2.478713749735001,117.9974296866817,433.6448099772142,0.8039384348124965,2.684823099035701,29.62617454528811
-93.5_42.0,2022,,0.676314429955389,2.5005566471456753,90.16079695549806,441.8083873748787,0.8165127597474989,2.758575505521992,29.90692291259768
-93.5_42.0,2023,,0.7508537785337637,2.4717793719463628,67.37316778333025,420.3215099334724,0.8429977577018408,2.7128515436875134,31.483087158203148
-93.5_42.0,2024,,0.684517594361009,2.45635437673306,104.95807269229118,397.86467959086167,0.8249497638941424,2.706228438435143,29.000169372558616
